Territory,Connections,Continent,Priority,Pixel Pair 1,Pixel Pair 2,Extra 1,Extra 2,Connection,ATW
Aldwych,"Somerset House,Trafalgar Square,Leicester Square,Chancery Lane,New Oxford Street,High Holborn",Covent Garden,1,654,255,,,,
Bankside,"Southwark,Lambeth,Blackfriars,Cannon Street",Southwark,2,1050,535,,,,
Barbican,"Shoreditch,Lloyd's of London,The Gherkin,St Luke's,Guildhall,St Bartholomew's Hospital",Tower Hamlets,3,1024,150,,,,
Big Ben,"Whitehall,Lambeth,Horse Guards Parade,University of the Arts",Landmarks,4,547,547,,,,
Blackfriars,"Temple,Fetter Lane,St Paul's,Cannon Street,Bankside,Lambeth",St Paul's Cathedral,5,942,310,,,,
Bloomsbury,"University College London,Russel Square,New Oxford Street,Leicester Square,Soho East,Fitzrovia",Clerkenwell,6,542,167,,,,
Buckingham Palace,"University of the Arts,Whitehall,Horse Guards Parade",Landmarks,7,354,611,,,,
Cannon Street,"Cornhill,Tower of London,Blackfriars,St Paul's,The Gherkin,Guildhall,Bankside",St Paul's Cathedral,8,1091,313,,,,
Chancery Lane,"Fetter Lane,Somerset House,High Holborn,Aldwych",Covent Garden,9,738,221,,,,
Clerkenwell,"Hatton Garden,St Luke's,St Bartholomew's Hospital",Hackney,10,895,120,,,,
Cornhill,"St Mary Axe,TowerHill,Tower of London,Cannon Street,The Gherkin",Whitechapel,11,1180,292,,,,
Fetter Lane,"Temple,Somerset House,Blackfriars,Chancery Lane,St Paul's,St Bartholomew's Hospital,High Holborn,Hatton Garden",St Paul's Cathedral,12,838,227,,,,
Fitzrovia,"Great Portland Street,University College London,Bloomsbury,Soho East,Soho West",Mayfair,13,451,143,,,,
Great Portland Street,"Harley Street,Fitzrovia,Soho West,Mayfair",Mayfair,14,371,135,,,,
Grosvenor Square,"Piccadilly,Marylebone West,Marylebone East,Mayfair",Mayfair,15,146,347,,,,
Guildhall,"Barbican,The Gherkin,St Paul's,St Bartholomew's Hospital,Cannon Street",Tower Hamlets,16,1032,219,,,,
Harley Street,"Marylebone East,Great Portland Street,Mayfair",Mayfair,17,284,143,,,,
Hatton Garden,"Kings Cross,Clerkenwell,St Bartholomew's Hospital,Fetter Lane,High Holborn",Hackney,18,828,144,,,,
High Holborn,"Fetter Lane,Chancery Lane,Aldwych,New Oxford Street,Hatton Garden,Russel Square,Kings Cross",Clerkenwell,19,716,154,,,,
Horse Guards Parade,"Whitehall,Big Ben,University of the Arts,Buckingham Palace",Westminster,20,446,551,,,,
Kings Cross,"Russel Square,Hatton Garden,High Holborn",Clerkenwell,21,741,55,,,,
Lambeth,"Bankside,University of the Arts,Big Ben,London Eye,Somerset House,Blackfriars",Southwark,22,790,547,,,,
