Territory,Connections,Continent,Priority,Pixel Pair 1,Pixel Pair 2,Extra 1,Extra 2,Connection,ATW
Afghanistan,"Ukraine,Ural,Middle_East,China,India",Asia,1,1048,290,,,,
Alaska,"Northwest_Territory,Alberta,Kamchatka",North America,2,296,127,106,116,Kamchatka,
Alberta,"Northwest_Territory,Alaska,Ontario,Western_United_States",North America,3,384,183,,,,
Argentina,"Peru,Brazil,South_Africa,Eastern_Australia",South America,4,439,641,,,,Eastern_Australia
Brazil,"North_Africa,Argentina,Peru,Venezuela",South America,5,531,520,,,,
Central_America,"Western_United_States,Eastern_United_States,Venezuela",North America,6,346,346,,,,
China,"Afghanistan,Ural,India,Siberia,Mongolia,Siam",Asia,7,1233,345,,,,
Congo,"North_Africa,East_Africa,South_Africa",Africa,8,865,601,,,,
East_Africa,"Middle_East,Madagascar,Egypt,North_Africa,Congo,South_Africa",Africa,9,911,520,,,,
Eastern_Australia,"New_Guinea,Western_Australia,Argentina",Australia,10,1461,738,,,,Argentina
Eastern_United_States,"Quebec,Central_America,Western_United_States,Ontario,Western_Europe",North America,11,461,281,,,,
Egypt,"Middle_East,East_Africa,North_Africa,Southern_Europe",Africa,12,861,447,,,,
Great_Britain,"Scandinavia,Northern_Europe,Western_Europe,Iceland",Europe,13,704,248,,,,
Greenland,"Iceland,Quebec,Northwest_Territory,Ontario,Ural",North America,14,648,87,,,,
Iceland,"Greenland,Scandinavia,Great_Britain",Europe,15,747,149,,,,
India,"Afghanistan,China,Siam,Middle_East",Asia,16,1125,403,,,,
Indonesia,"Siam,New_Guinea,Western_Australia",Australia,17,1253,576,,,,
Irkutsk,"Siberia,Yakutsk,Mongolia,Kamchatka",Asia,18,1212,200,,,,
Japan,"Kamchatka,Mongolia,Western_United_States",Asia,19,1379,277,,,,Western_United_States
Kamchatka,"Yakutsk,Japan,Irkutsk,Mongolia,Alaska",Asia,20,1339,118,1519,125,Alaska,
Madagascar,"East_Africa,South_Africa,Western_Australia",Africa,21,1016,716,,,,
Middle_East,"Ukraine,Afghanistan,India,East_Africa,Southern_Europe,Egypt",Asia,22,974,436,,,,
Mongolia,"Siberia,Irkutsk,Kamchatka,Japan,China",Asia,23,1244,268,,,,
New_Guinea,"Indonesia,Eastern_Australia,Western_Australia",Australia,24,1401,555,,,,
North_Africa,"East_Africa,Congo,Egypt,Southern_Europe,Western_Europe,Brazil",Africa,25,746,488,,,,
Northern_Europe,"Scandinavia,Ukraine,Great_Britain,Southern_Europe,Western_Europe",Europe,26,819,254,,,,
Northwest_Territory,"Alberta,Alaska,Ontario,Greenland",North America,27,397,124,,,,
Ontario,"Alberta,Northwest_Territory,Greenland,Quebec,Eastern_United_States,Western_United_States",North America,28,461,194,,,,
Peru,"Argentina,Venezuela,Brazil",South America,29,442,556,,,,
Quebec,"Greenland,Eastern_United_States,Ontario",North America,30,553,191,,,,
Scandinavia,"Ukraine,Northern_Europe,Iceland,Great_Britain",Europe,31,815,174,,,,
Siam,"China,Indonesia,India",Australia,32,1228,435,,,,
Siberia,"Ural,Yakutsk,Irkutsk,China,Mongolia",Asia,33,1120,130,,,,
South_Africa,"East_Africa,Madagascar,Congo,Argentina",Africa,34,863,724,,,,
Southern_Europe,"Northern_Europe,Ukraine,Western_Europe,Middle_East,Egypt,North_Africa",Europe,35,844,322,,,,
Ukraine,"Afghanistan,Ural,Scandinavia,Northern_Europe,Middle_East,Southern_Europe",Europe,36,943,192,,,,
Ural,"Siberia,Afghanistan,Ukraine,China,Greenland",Asia,37,1058,166,,,,
Venezuela,"Peru,Central_America,Brazil",South America,38,446,432,,,,
Western_Australia,"Indonesia,New_Guinea,Eastern_Australia,Madagascar",Australia,39,1310,736,,,,
Western_Europe,"Great_Britain,Northern_Europe,Southern_Europe,North_Africa,Eastern_United_States",Europe,40,708,367,,,,
Western_United_States,"Central_America,Eastern_United_States,Alberta,Ontario,Japan",North America,41,368,262,,,,Japan
Yakutsk,"Siberia,Kamchatka,Irkutsk",Asia,42,1217,111,,,,
