Territory,Connections,Continent,Priority,Pixel Pair 1,Pixel Pair 2,Extra 1,Extra 2,Connection,ATW
Afghanistan,"China,India,Ural,Ukraine,Middle_East",Asia,1,1048,290,,,,
Alaska,"Alberta,Northwest_Territory,Kamchatka",North America,2,296,127,106,116,Kamchatka,
Alberta,"Western_United_States,Alaska,Ontario,Northwest_Territory",North America,3,384,183,,,,
Argentina,"Brazil,Peru",South America,4,439,641,,,,
Brazil,"North_Africa,Argentina,Peru,Venezuela",South America,5,531,520,,,,
Central_America,"Venezuela,Western_United_States,Eastern_United_States",North America,6,346,346,,,,
China,"Mongolia,Siam,Siberia,Afghanistan,India,Ural",Asia,7,1233,345,,,,
Congo,"South_Africa,North_Africa,East_Africa",Africa,8,865,601,,,,
East_Africa,"Middle_East,Madagascar,Egypt,North_Africa,South_Africa,Congo",Africa,9,911,520,,,,
Eastern_Australia,"New_Guinea,Western_Australia",Australia,10,1461,738,,,,
Eastern_United_States,"Quebec,Central_America,Western_United_States,Ontario",North America,11,461,281,,,,
Egypt,"Middle_East,East_Africa,North_Africa,Southern_Europe",Africa,12,861,447,,,,
Great_Britain,"Western_Europe,Iceland,Scandinavia,Northern_Europe",Europe,13,704,248,,,,
Greenland,"Northwest_Territory,Iceland,Quebec,Ontario",North America,14,648,87,,,,
Iceland,"Greenland,Scandinavia,Great_Britain",Europe,15,747,149,,,,
India,"Siam,Middle_East,Afghanistan,China",Asia,16,1125,403,,,,
Indonesia,"New_Guinea,Western_Australia,Siam",Australia,17,1253,576,,,,
Irkutsk,"Yakutsk,Kamchatka,Siberia,Mongolia",Asia,18,1212,200,,,,
Japan,"Kamchatka,Mongolia",Asia,19,1379,277,,,,
Kamchatka,"Yakutsk,Japan,Irkutsk,Mongolia,Alaska",Asia,20,1339,118,1519,125,Alaska,
Madagascar,"East_Africa,South_Africa",Africa,21,1016,716,,,,
Middle_East,"India,East_Africa,Ukraine,Afghanistan,Southern_Europe,Egypt",Asia,22,974,436,,,,
Mongolia,"Japan,China,Kamchatka,Siberia,Irkutsk",Asia,23,1244,268,,,,
New_Guinea,"Indonesia,Eastern_Australia,Western_Australia",Australia,24,1401,555,,,,
North_Africa,"Congo,Brazil,Western_Europe,Southern_Europe,East_Africa,Egypt",Africa,25,746,488,,,,
Northern_Europe,"Southern_Europe,Western_Europe,Scandinavia,Great_Britain,Ukraine",Europe,26,819,254,,,,
Northwest_Territory,"Alaska,Greenland,Ontario,Alberta",North America,27,397,124,,,,
Ontario,"Alberta,Northwest_Territory,Western_United_States,Greenland,Quebec,Eastern_United_States",North America,28,461,194,,,,
Peru,"Argentina,Venezuela,Brazil",South America,29,442,556,,,,
Quebec,"Greenland,Eastern_United_States,Ontario",North America,30,553,191,,,,
Scandinavia,"Iceland,Ukraine,Northern_Europe,Great_Britain",Europe,31,815,174,,,,
Siam,"Indonesia,India,China",Australia,32,1228,435,,,,
Siberia,"Ural,Yakutsk,Mongolia,China,Irkutsk",Asia,33,1120,130,,,,
South_Africa,"Madagascar,Congo,East_Africa",Africa,34,863,724,,,,
Southern_Europe,"Western_Europe,North_Africa,Northern_Europe,Ukraine,Middle_East,Egypt",Europe,35,844,322,,,,
Ukraine,"Scandinavia,Ural,Afghanistan,Middle_East,Northern_Europe,Southern_Europe",Europe,36,943,192,,,,
Ural,"Ukraine,Siberia,China,Afghanistan",Asia,37,1058,166,,,,
Venezuela,"Peru,Central_America,Brazil",South America,38,446,432,,,,
Western_Australia,"Eastern_Australia,Indonesia,New_Guinea",Australia,39,1310,736,,,,
Western_Europe,"Southern_Europe,North_Africa,Northern_Europe,Great_Britain",Europe,40,708,367,,,,
Western_United_States,"Central_America,Alberta,Eastern_United_States,Ontario",North America,41,368,262,,,,
Yakutsk,"Siberia,Kamchatka,Irkutsk",Asia,42,1217,111,,,,
