Territory,Connections,Continent,Priority,Pixel Pair 1,Pixel Pair 2,Extra 1,Extra 2,Connection,ATW
Rethymno,"Heraklion,Chania",Crete,58,702,840,,,,
Chania,"Rethymno,Kythira",Crete,57,616,828,,,,
Heraklion,"Lasithi,Rethymno",Crete,59,764,849,,,,
Lasithi,"S_Cyclades,Heraklion,Steno_Kasou",Crete,60,873,847,,,,
Steno_Kasou,"Lasithi,Rhodes",Dodecanese,56,998,781,,,,
Rhodes,"Steno_Kasou,N_Dodecanese",Dodecanese,55,1060,668,,,,
N_Dodecanese,"Samos,Rhodes,Ikaria",Dodecanese,54,906,550,,,,
Samos,"Chios,N_Dodecanese,Ikaria",North Aegean,53,926,468,,,,
Ikaria,"Chios,Samos,NE_Cyclades,N_Dodecanese",North Aegean,52,830,490,,,,
Chios,"Samos,Ikaria,Lesbos",North Aegean,51,802,389,,,,
Lesbos,"Lemnos,Chios",North Aegean,50,776,308,,,,
Lemnos,"Samothraki,Mount_Athos,Lesbos",North Aegean,49,676,249,,,,
S_Cyclades,"C_Cyclades,Lasithi",Cyclades,63,766,742,,,,
C_Cyclades,"NE_Cyclades,S_Cyclades,NW_Cyclades",Cyclades,62,667,619,,,,
NW_Cyclades,"Athens,C_Cyclades",Cyclades,61,578,560,,,,
NE_Cyclades,"C_Cyclades,Evia,Ikaria",Cyclades,64,671,547,,,,
Kythira,"Laconia,Chania,Zakynthos",Attica,36,456,756,,,,
Saronic_Islands,"Agrolis,Athens",Attica,37,457,530,,,,
Athens,"Saronic_Islands,Corinthia,Evia,NW_Cyclades,Viotia",Attica,35,487,460,,,,
Corinthia,"Achaia,Athens,Arcadia,Agrolis",Peloponessos,31,370,473,,,,
Agrolis,"Saronic_Islands,Corinthia,Arcadia",Peloponessos,32,406,516,,,,
Arcadia,"Laconia,Corinthia,Achaia,Ilia,Agrolis,Messinia",Peloponessos,33,340,526,,,,
Messinia,"Ilia,Arcadia,Laconia",Peloponessos,30,294,577,,,,
Laconia,"Kythira,Arcadia,Messinia",Peloponessos,34,366,602,,,,
Aetolio_Acarnania,"Preveza_and_Arta,Evrytania,Fokida,Lefkada,Fthiotida,Achaia",Western Greece,29,246,387,,,,
Achaia,"Corinthia,Ilia,Arcadia,Aetolio_Acarnania",Western Greece,28,302,464,,,,
Ilia,"Zakynthos,Achaia,Arcadia,Messinia",Western Greece,27,260,506,,,,
Zakynthos,"Kefalonia,Ilia,Kythira",Ionian Islands,26,165,576,,,,
Kefalonia,"Lefkada,Zakynthos",Ionian Islands,25,115,468,,,,
Lefkada,"Aetolio_Acarnania,Kefalonia,Corfu",Ionian Islands,23,169,389,,,,
Corfu,"Thesprotia,Lefkada",Ionian Islands,24,44,281,,,,
Evrytania,"Fthiotida,Karditsa,Aetolio_Acarnania",Central Greece,41,281,344,,,,
Fthiotida,"Karditsa,Larissa,Evia,Evrytania,Viotia,Magnesia,Aetolio_Acarnania,Fokida",Central Greece,43,349,356,,,,
Fokida,"Fthiotida,Aetolio_Acarnania,Viotia",Central Greece,39,338,405,,,,
Viotia,"Evia,Fokida,Fthiotida,Athens",Central Greece,40,415,419,,,,
Evia,"Skyros,NE_Cyclades,Athens,Viotia,Fthiotida",Central Greece,42,501,388,,,,
Skyros,"Sporades,Evia",Central Greece,38,556,323,,,,
Trikala,"Preveza_and_Arta,Karditsa,Ioannina,Grevena,Larissa",Thessaly,47,288,272,,,,
Karditsa,"Preveza_and_Arta,Trikala,Larissa,Evrytania,Fthiotida",Thessaly,48,302,308,,,,
Larissa,"Magnesia,Kozania,Trikala,Karditsa,Pieria,Grevena,Fthiotida",Thessaly,44,355,270,,,,
Magnesia,"Larissa,Sporades,Fthiotida",Thessaly,45,401,289,,,,
Sporades,"Skyros,Halkidiki,Magnesia",Thessaly,46,490,301,,,,
Ioannina,"Trikala,Preveza_and_Arta,Thesprotia,Grevena,Kastoria",Epirus,21,198,258,,,,
Thesprotia,"Corfu,Ioannina,Preveza_and_Arta",Epirus,20,154,290,,,,
Preveza_and_Arta,"Aetolio_Acarnania,Thesprotia,Karditsa,Ioannina,Trikala",Epirus,22,207,315,,,,
Florina,"Pella,Kastoria,Kozania",West Macedonia,17,274,147,,,,
Kastoria,"Kozania,Florina,Ioannina,Grevena",West Macedonia,16,233,178,,,,
Kozania,"Pieria,Florina,Grevena,Larissa,Imathia,Kastoria",West Macedonia,18,290,191,,,,
Grevena,"Kastoria,Kozania,Ioannina,Trikala,Larissa",West Macedonia,19,250,228,,,,
Pella,"Kilkis,Florina,Thessaloniki,Imathia",Central Macedonia,13,325,135,,,,
Imathia,"Pieria,Kozania,Thessaloniki,Pella",Central Macedonia,11,334,168,,,,
Pieria,"Imathia,Kozania,Larissa",Central Macedonia,12,358,195,,,,
Kilkis,"Serres,Pella,Thessaloniki",Central Macedonia,14,388,113,,,,
Thessaloniki,"Imathia,Halkidiki,Serres,Kilkis,Pella",Central Macedonia,10,426,144,,,,
Halkidiki,"Thessaloniki,Sporades,Mount_Athos",Central Macedonia,9,468,176,,,,
Mount_Athos,"Halkidiki,Lemnos",Central Macedonia,15,515,189,,,,
Serres,"Kilkis,Thessaloniki,Drama,Kavala",Central Macedonia,8,447,101,,,,
Drama,"Xanthi,Kavala,Serres",East Macedonia & Thrace,5,518,63,,,,
Kavala,"Thasos,Drama,Xanthi,Serres",East Macedonia & Thrace,4,543,102,,,,
Thasos,"Xanthi,Kavala",East Macedonia & Thrace,6,576,167,,,,
Xanthi,"Rodopi,Thasos,Drama,Kavala",East Macedonia & Thrace,3,576,94,,,,
Rodopi,"Evros,Xanthi",East Macedonia & Thrace,1,624,94,,,,
Evros,"Rodopi,Samothraki",East Macedonia & Thrace,2,683,90,,,,
Samothraki,"Evros,Lemnos",East Macedonia & Thrace,7,674,169,,,,
