Territory,Connections,Continent,Priority,Pixel Pair 1,Pixel Pair 2,Extra 1,Extra 2,Connection,ATW
Bosnia,"Voivodship_of_Serbia,Western_Serbia,Croatia,Montenegro,Dalmatia",Adriatic Coast,2,953,290,,,,
Dalmatia,"Croatia,Bosnia,Northern_Naples",Adriatic Coast,8,852,308,,,,
Istria,"Carniola,Croatia,The_Papal_States,Venice",Adriatic Coast,13,732,221,,,,
Montenegro,"Bosnia,Western_Serbia,Southern_Naples,South_Eastern_Serbia,Albania",Adriatic Coast,16,998,374,,,,
Carinthia,"Western_Hungary,Carniola,Eastern_Austria,Western_Austria,Tyrol,Venice",Austrian Empire,3,722,131,,,,
Carniola,"Western_Hungary,Croatia,Carinthia,Istria,Venice",Austrian Empire,4,775,172,,,,
Croatia,"Voivodship_of_Serbia,Bosnia,Western_Hungary,Carniola,Dalmatia,Istria",Austrian Empire,7,882,193,,,,
Eastern_Austria,"Carinthia,Western_Austria,Western_Hungary",Austrian Empire,9,841,65,,,,
Eastern_Hungary,"Voivodship_of_Serbia,Western_Hungary",Austrian Empire,10,1076,117,,,,
South_Eastern_Serbia,"Western_Serbia,Voivodship_of_Serbia,Montenegro,Macedonia,Albania",Austrian Empire,26,1168,332,,,,
Tyrol,"Carinthia,Venice,Free_States,Western_Austria",Austrian Empire,31,608,110,,,,
Voivodship_of_Serbia,"Western_Serbia,Bosnia,South_Eastern_Serbia,Croatia,Eastern_Hungary,Western_Hungary",Austrian Empire,33,1058,214,,,,
Western_Austria,"Eastern_Austria,Carinthia,Tyrol",Austrian Empire,34,745,66,,,,
Western_Hungary,"Eastern_Hungary,Voivodship_of_Serbia,Croatia,Carniola,Carinthia,Eastern_Austria",Austrian Empire,35,946,136,,,,
Western_Serbia,"Voivodship_of_Serbia,Bosnia,South_Eastern_Serbia,Montenegro",Austrian Empire,36,1076,300,,,,
Corsica,"Sardinia,Languedoc_Roussillon,Tuscany,Riviera,Genoa",Italian Islands,6,434,382,,,,
Sardinia,"Sicily,Corsica",Italian Islands,23,404,541,,,,
Sicily,"Southern_Naples,Sardinia",Italian Islands,25,707,702,,,,
Northern_Naples,"The_Papal_States,Dalmatia,Southern_Naples",Italian Peninsula,18,741,436,,,,
Southern_Naples,"Northern_Naples,Montenegro,Peloponnese,Sicily,Albania",Italian Peninsula,28,834,507,,,,
The_Papal_States,"Croatia,Northern_Naples,Tuscany,Genoa,Venice,Istria",Italian Peninsula,29,664,330,,,,
Tuscany,"The_Papal_States,Genoa,Corsica",Italian Peninsula,30,570,314,,,,
Free_States,"Venice,Tyrol",Northern Italy,11,527,126,,,,
Genoa,"The_Papal_States,Tuscany,Corsica,Riviera,Savoy,Venice",Northern Italy,12,516,244,,,,
Savoy,"Rhone_Alps,Venice,Genoa,Riviera,Provence",Northern Italy,24,403,188,,,,
Venice,"Tyrol,Carinthia,Savoy,Free_States,Genoa,Carniola,The_Papal_States,Istria",Northern Italy,32,612,194,,,,
Albania,"Macedonia,Northern_Greece,South_Eastern_Serbia,Montenegro,Southern_Naples",Ottoman Greece,1,1055,484,,,,
Central_Greece,"Northern_Greece,Peloponnese",Ottoman Greece,5,1208,642,,,,
Macedonia,"South_Eastern_Serbia,Northern_Greece,Albania",Ottoman Greece,15,1168,458,,,,
Northern_Greece,"Macedonia,Central_Greece,Albania",Ottoman Greece,17,1159,560,,,,
Peloponnese,"Central_Greece,Southern_Naples",Ottoman Greece,19,1201,730,,,,
Languedoc_Roussillon,"Corsica,Southern_Auvergne,Riviera,Provence",South Eastern France,14,113,290,,,,
Provence,"Languedoc_Roussillon,Southern_Auvergne,Riviera,Rhone_Alps,Savoy",South Eastern France,20,257,191,,,,
Rhone_Alps,"Southern_Auvergne,Savoy,Provence",South Eastern France,21,184,125,,,,
Riviera,"Corsica,Languedoc_Roussillon,Genoa,Provence,Savoy",South Eastern France,22,283,288,,,,
Southern_Auvergne,"Languedoc_Roussillon,Rhone_Alps,Provence",South Eastern France,27,76,214,,,,
