Territory,Connections,Continent,Priority,Pixel Pair 1,Pixel Pair 2,Extra 1,Extra 2,Connection,ATW
Alabama,"Tennessee,Georgia,Mississippi,Florida",Southeast,1,932,520,,,,
Arizona,"New_Mexico,California,Utah,Nevada",Southwest,2,284,478,,,,
Arkansas,"Louisiana,Texas,Missouri,Tennessee,Oklahoma",Southeast,3,767,479,,,,
California,"Arizona,Oregon,Nevada",Pacific Coast,4,128,386,,,,
Central_New_England,"North_New_England,South_New_England,New_York",New England,5,1138,140,,,,
Colorado,"New_Mexico,Wyoming,Nebraska,Kansas,Oklahoma",Rocky Mountains,6,474,345,,,,
Florida,"Georgia,Mississippi,Alabama",Southeast,7,1114,678,,,,
Georgia,"South_Carolina,Florida,Alabama",Southeast,8,1019,529,,,,
Idaho,"Montana,Utah,Washington,Oregon,Nevada",Rocky Mountains,9,291,198,,,,
Illinois,"Missouri,Wisconsin,Indiana,Kentucky",Midwest,10,831,292,,,,
Indiana,"Kentucky,Illinois,Ohio,Michigan",Midwest,11,894,294,,,,
Iowa,"Missouri,Nebraska,Minnesota,South_Dakota",Heartland,12,718,260,,,,
Kansas,"Missouri,Oklahoma,Nebraska,Colorado",Heartland,13,624,362,,,,
Kentucky,"Indiana,Illinois,Ohio,West_Virginia,Tennessee",Appalachian Highlands,14,955,368,,,,
Louisiana,"Mississippi,Texas,Arkansas",Southeast,15,787,632,,,,
Michigan,"Wisconsin,Ohio,Indiana",Midwest,16,891,191,,,,
Minnesota,"North_Dakota,Wisconsin,Iowa,South_Dakota",Heartland,17,698,125,,,,
Mississippi,"Florida,Louisiana,Tennessee,Alabama",Southeast,18,863,531,,,,
Missouri,"Iowa,Nebraska,Kansas,Oklahoma,Illinois,Arkansas",Heartland,19,748,362,,,,
Montana,"Washington,North_Dakota,Wyoming,Idaho,South_Dakota",Rocky Mountains,20,449,118,,,,
Nebraska,"Iowa,Missouri,Kansas,Colorado,Wyoming,South_Dakota",Heartland,21,607,277,,,,
Nevada,"Arizona,California,Oregon,Idaho,Utah",Rocky Mountains,22,214,292,,,,
New_Mexico,"Texas,Arizona,Oklahoma,Colorado",Southwest,23,425,485,,,,
New_York,"Southern_Mid-Atlantic_States,Central_New_England,South_New_England",Mid-Atlantic,24,1088,174,,,,
North_Carolina,"South_Carolina,Virginia,South_New_England",Appalachian Highlands,25,1119,401,,,,
North_Dakota,"Montana,Minnesota,South_Dakota",Heartland,26,590,118,,,,
North_New_England,Central_New_England,New England,27,1177,97,,,,
Ohio,"Michigan,Southern_Mid-Atlantic_States,Kentucky,Indiana,West_Virginia",Midwest,28,961,282,,,,
Oklahoma,"Kansas,Missouri,Texas,New_Mexico,Colorado,Arkansas",Southwest,29,645,461,,,,
Oregon,"California,Washington,Idaho,Nevada",Pacific Coast,30,181,161,,,,
South_Carolina,"North_Carolina,Georgia",Southeast,31,1079,478,,,,
South_Dakota,"Minnesota,Iowa,Montana,North_Dakota,Wyoming,Nebraska",Heartland,32,593,198,,,,
South_New_England,"Central_New_England,New_York,North_Carolina",New England,33,1162,186,,,,
Southern_Mid-Atlantic_States,"Ohio,New_York,Virginia,West_Virginia",Mid-Atlantic,34,1086,249,,,,
Tennessee,"Kentucky,Alabama,Mississippi,Arkansas",Appalachian Highlands,35,903,427,,,,
Texas,"Louisiana,New_Mexico,Arkansas,Oklahoma",Southwest,36,613,594,,,,
Utah,"Idaho,Arizona,Nevada",Rocky Mountains,37,303,344,,,,
Virginia,"Southern_Mid-Atlantic_States,North_Carolina,West_Virginia",Appalachian Highlands,38,1086,341,,,,
Washington,"Oregon,Montana,Idaho",Pacific Coast,39,221,79,,,,
West_Virginia,"Virginia,Kentucky,Ohio,Southern_Mid-Atlantic_States",Appalachian Highlands,40,1024,336,,,,
Wisconsin,"Minnesota,Michigan,Illinois",Midwest,41,794,179,,,,
Wyoming,"Colorado,Montana,South_Dakota,Nebraska",Rocky Mountains,42,452,222,,,,
